<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Lotus Gold Com.ETF,20250506, 470998.00, 474998.00, 468200.00, 471705.00,4467248036940.00, 9470435,13711,D,487659.00,471991.00
Lotus Gold Com.ETF,20250505, 491527.00, 496681.00, 475604.00, 487659.00,6486003099224.00, 13300295,21030,D,495165.00,478400.00
Lotus Gold Com.ETF,20250504, 494900.00, 502010.00, 488161.00, 495165.00,9155131248393.00, 18489052,23707,D,485753.00,491400.00
Lotus Gold Com.ETF,20250503, 490000.00, 490031.00, 480000.00, 485753.00,9073713590653.00, 18679683,22249,D,455569.00,488111.00
Lotus Gold Com.ETF,20250430, 453000.00, 457562.00, 450400.00, 455569.00,4108819258111.00, 9019100,11865,D,448026.00,456650.00
Lotus Gold Com.ETF,20250429, 440000.00, 451897.00, 439000.00, 448026.00,3604135020088.00, 8044471,11492,D,445392.00,449450.00
Lotus Gold Com.ETF,20250428, 444530.00, 448000.00, 441201.00, 445392.00,3292555115240.00, 7392485,10656,D,450431.00,446950.00
Lotus Gold Com.ETF,20250427, 454499.00, 456780.00, 445460.00, 450431.00,6862261721673.00, 15234871,18417,D,431108.00,453559.00
Lotus Gold Com.ETF,20250426, 420000.00, 440084.00, 415611.00, 431108.00,10115371026556.00, 23463651,25674,D,423268.00,435301.00
Lotus Gold Com.ETF,20250423, 418000.00, 429998.00, 417000.00, 423268.00,4475372233654.00, 10573384,15257,D,430272.00,426004.00
Lotus Gold Com.ETF,20250422, 435000.00, 437500.00, 423333.00, 430272.00,6636520832175.00, 15423999,23644,D,441051.00,424840.00
Lotus Gold Com.ETF,20250421, 445900.00, 450150.00, 436080.00, 441051.00,6819520168430.00, 15461981,20866,D,424661.00,450000.00
Lotus Gold Com.ETF,20250420, 420001.00, 432000.00, 415599.00, 424661.00,9514656157931.00, 22405288,28178,D,456973.00,430030.00
Lotus Gold Com.ETF,20250419, 462068.00, 470650.00, 441000.00, 456973.00,12126363625261.00, 26536277,36342,D,477248.00,443990.00
Lotus Gold Com.ETF,20250416, 485000.00, 487600.00, 469991.00, 477248.00,8694627806764.00, 18218240,26261,D,487683.00,477763.00
Lotus Gold Com.ETF,20250415, 500000.00, 500200.00, 466011.00, 487683.00,14239296958787.00, 29197842,34396,D,472944.00,473440.00
Lotus Gold Com.ETF,20250414, 470000.00, 485148.00, 465500.00, 472944.00,15688444696308.00, 33171898,40048,D,462520.00,473479.00
Lotus Gold Com.ETF,20250413, 471000.00, 474488.00, 459870.00, 462520.00,7476490222575.00, 16164691,22011,D,510966.00,459870.00
Lotus Gold Com.ETF,20250412, 530500.00, 530500.00, 483310.00, 510966.00,17568267649770.00, 34382432,48703,D,536999.00,502995.00
Lotus Gold Com.ETF,20250409, 560000.00, 564422.00, 524405.00, 536999.00,17165486789912.00, 31965579,45838,D,546215.00,531000.00
Lotus Gold Com.ETF,20250408, 545020.00, 557000.00, 545020.00, 546215.00,15185428585094.00, 27801193,44083,D,605577.00,545020.00
Lotus Gold Com.ETF,20250407, 605000.00, 611230.00, 597000.00, 605577.00,12846357711318.00, 21213407,33592,D,591566.00,599600.00
Lotus Gold Com.ETF,20250406, 576509.00, 599000.00, 576000.00, 591566.00,13289570874420.00, 22465051,27573,D,580818.00,595250.00
Lotus Gold Com.ETF,20250405, 585000.00, 599000.00, 570127.00, 580818.00,13391295701319.00, 23055942,46453,D,613729.00,572504.00
Lotus Gold Com.ETF,20250330, 629999.00, 629999.00, 604700.00, 613729.00,12827284230567.00, 20900565,28034,D,629932.00,614950.00
Lotus Gold Com.ETF,20250329, 623602.00, 638949.00, 612300.00, 629932.00,12861649667514.00, 20417531,32494,D,592703.00,638200.00
Lotus Gold Com.ETF,20250326, 584950.00, 599980.00, 581004.00, 592703.00,9618099098811.00, 16227515,24476,D,570328.00,599890.00
Lotus Gold Com.ETF,20250325, 560000.00, 580590.00, 547700.00, 570328.00,10952316095919.00, 19203544,28207,D,578999.00,580004.00
Lotus Gold Com.ETF,20250318, 585000.00, 589000.00, 570333.00, 578999.00,15866154996606.00, 27402723,35827,D,542712.00,570800.00
Lotus Gold Com.ETF,20250317, 540250.00, 546400.00, 537000.00, 542712.00,10133564316839.00, 18672089,26968,D,514744.00,546098.00
Lotus Gold Com.ETF,20250316, 509998.00, 520010.00, 507020.00, 514744.00,6906936678031.00, 13418209,20455,D,499103.00,517800.00
Lotus Gold Com.ETF,20250315, 500000.00, 501500.00, 492601.00, 499103.00,5738828873323.00, 11498274,17196,D,498831.00,499945.00
Lotus Gold Com.ETF,20250312, 499050.00, 502900.00, 496000.00, 498831.00,3842174981210.00, 7702364,13787,D,500891.00,498501.00
